comment,True_Label,Predict
Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh.,5,5
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
Túi đựng cũng xinh lắm ý.,4,4
"Quần phù hợp với giá tiền. 10 quần 10 màu thì thích hơn,nhưng 10 quần chỉ đc 8 màu(2 đen,2 da).",3,3
Phù hợp vs giá Đóng gói sản phẩm tạm được.,4,4
Rất rất thích.,5,5
Rất ưng về chất lượng sản phẩm.,5,5
"Quạt mát và mạnh, đèn sáng vô cùng, nói chung rất đáng tiền, nên mua.",5,5
"Rất không đáng tiền, áo quá mỏng, mực in dỏm, hàng kém chất lượng.",1,1
Trông cho trời lạnh để diện em nó.,5,5
Lúc nhận hàng trông áo hơi thô nh mặc vào vừa vặn.,4,4
K vua y ao k dug size.,3,3
Đóng gói sản phẩm tạm được.,3,3
Ly gì toan bố.,3,3
Sẽ ủng hộ shop thêm.,4,5
Áo hàn thì vải đẹp.,5,5
48kg mà size s chật ko mặc dc.,3,3
Từ trong ra ngoài đều êm .,5,5
Hơn cả sự mong đợi :).,5,5
Chủ shop lịch sự..,4,4
Nhưng vì giá khá rẻ nên chịu vậy.,2,5
Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
Hihi.,3,5
Gối nằm rất ok.,4,4
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền💖💖💖.,5,5
Thời gian giao hàng rất nhanh.tien nao cua do.chang ra gi.duong may xau.,4,4
Đáng đồng tiền bát gạo.,5,5
"Giao hàng nhanh , chất lượng vải tốt <3.",5,5
"Áo màu trắng kem,đường may đẹp,vải hơi dầy chút.",3,3
"Shop nhiệt tình, dễ thương.",4,4
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Rất đáng tiền Mặc lên rất đẹp,chất vải cũng khá dày dặn nhưng vest hợp với người quản lý đi làm.",5,5
Có 1 cái bị đứt chỉ mất 1 đoạn nhưng ks mặc vẫnđẹp tôn dáng lắm giá lại rẻ nữa.,4,4
Áo đẹp.,5,5
Lần đầu dùng 5 miếng đã thấy trắng hơn nhiều .,5,5
Váy đẹpp Chất lượng sản phẩm tuyệt vời.,5,5
Vận chuyển chậm.Bị dính bẩn làm xấu cặp.,1,1
Mui hắc khó ngui.,1,1
"Shop phục vụ rất tốt, cơ mà váy ngắn hơn chứ k dài qua đầu gối nhiều như trong hình.",2,2
"Chất vải ổn, màu chuẩn hình, hình in đẹp, giao hàng nhanh.",5,5
Mừng quá trời.,5,5
Thời gian giao hàng rất nhanh Giá cả chấp nhận được.,4,4
"Shop nên cho chọn size,vì đặt mua xog thì shop đưa size nhỏ nên không vừa.",2,2
Vải tốt nhưng hơi nhỏ :((.,3,3
Nhưng ko có tem.,2,2
có giống hình nhưng vải rất mỏng không đúng như trong hình . giá tiền tương đương với sản phẩm.,2,2
Chất áo đẹp.,5,5
Chất lượng sản phẩm tuyệt vời.,5,5
Chất lượng sản phẩm tốt.,4,5
"Shop tư cấn nhiệt tình, sẽ còn ủng hộ nhiều.",5,5
Sẽ mua ủng hộ nếu có dịp ❤️.,5,5
Đàm rất đẹp.,5,5
Mua 5 áo nhưng 1 áo bị lỗi mà giá rẻ nên cx đc em cho 4 sao nhé^^.,4,4
Đẹp 😍.,5,5
Cảm ơn shop.,5,5
Tốt mua shop nhiều lần r.,5,5
Rất đáng tiền nhưng áo hơi chât chút.,4,4
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt, còn tặng quà cho khách nữa 😍😍.",5,5
Vải ok nhưng in xấu.,2,2
"C chủ nói ""nếu mẹ chị hk ưng thì chị k cần phải mua vì ngại nha chị, k sao nha chị, bên e chỉ bán khi chị thật sự hài lòng sp ạ""",5,5
"Mua 2 cái về để ngoài vuông xem, thấy ok cho 5 sao Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Shop phục vụ rất tốt Chất lượng sản phẩm tuyệt vời.",5,5
"Đồng hồ không dùng được, gọi cứ sập nguồn, shop lừa đảo, nhắn tin không trả lời.",1,1
Chất lượng sản phẩm tạm được.,3,3
Đặc biệt đồ mình nhận rất hài lòng nhé ạ.,5,5
Vì sai sót của shop.,1,1
Áo đẹp nhưng dễ bị phai.,3,3
"vải rất đẹp, mềm mịn, dầy dặn. giao hàng nhanh.",4,4
Túi rât đẹp.sp rât tuyệt.shop rât nhiệt tình Thời gian giao hàng rất nhanh.,4,4
"Rất ưng ý , sẽ ủng hộ shop tiếp.",4,5
chữ trên tay áo to chà bá.,3,3
"Sản phẩm dùng rất ổn, rất thích.",5,4
"Áo đẹp, ôm người, tôn dáng.",5,5
Tay hơi dài nhưng vẫn đẹpppp.giá cả tuyệt vời.,4,4
Shop phục vụ rất tốt.,5,5
Sẽ ủng hộ dài dài..,5,5
Thật thất vọng khi bị shop lừa gửi hàng chất ko như trong hình.mua một lần chứ ko có lần thứ 2😡😡😡😡.,1,1
Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
Đóg gói kg đạt.giầy bj dơ chùi kg ra.,2,2
San fam ko dat chat luong.,1,1
"Ship hàng siêu nhanh (đặt hàng lúc 12 rưỡi, 15h đã nhận được hàng).",5,5
Vãi mõng.,3,2
Thời gian giao hàng rất nhanh.,5,5
"Phần tay áo loe rộng, màu đẹp, chất áo được.",4,4
"Xài rất oke chưa thấy lỗi, chủ shop nch rất dễ thương :)).",4,4
Vải rất đẹp Rất đáng tiền Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh.,4,5
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất đáng tiền Thời gian giao hàng rất nhanh Rất tận tình và chu đáo nữa <3.,5,5
Sẽ ủng hộ shop dài lâu.,5,5
Áo giống hình vải đẹp xuất sắc ❤❤❤.,5,5
Hàng chất đẹp.,4,5
Hàng đẹp chất liệu rất đẹp.,4,4
Hình in rõ thêu cũng khá đẹp.,5,5
Áo chó hơi dài :v thân vừa mà tay dài :v cơ mà vải đẹp .thíchhhh.,4,4
"Chất lượng sản phẩm tuyệt vời Shop phục vụ rất tốt Thời gian giao hàng rất nhanh, chủ s dễ thương còn tặng cả cột tóc rất xinh, sẽ ủng hộ s lần tới.",5,5
Shop giao hàng cực nhanh.,4,5
Shop phục vụ rất kém Shop phục vụ rất kém.,2,1
Sản phẩm tốt bán hàng dễ thương.,4,4
Áo mặc siu thích luôn ý. ❤️❤️❤️.,5,5
Giá cao so với sản phẩm cùng loại.,2,1
Áo ngắn .,2,2
Mình dat quan SaiL 49kg nhung nhận được người Mac 39kg còn dc mà Sao 49kg mặc dc co chứ thất vọng quá.,1,1
Nên mua size lớn hơn dự tính tí.,5,5
Nhìn như vải bao tải ấy.,1,5
Cảm ơn shop.,4,5
Váy đẹp như hình ạ!!,5,5
Chất lượng sản phẩm tuyệt vờiHàng Ok.,5,5
Túi quần bị rách.,2,2
Biết cho shop mấy sao đây khi áo không mặc được.,1,1
mình Hài Lòng về sản phẩm.,5,5
Có chun điều chỉnh.,5,5
Sản phẩm tuyệt vời.,5,5
Shop phục vụ tốt.,5,5
Phần đầu có mấy lỗ nhỏ thông hơi nữa (hình đính kèm).,5,5
"Cũng cùng hãng giày nay co shop ban co 79k, nen cac bạn tim hieu kỹ khi đặt hàng.",3,3
Nói tóm gọn cho nhanh.,3,3
Màu hồng thì sẽ đẹp hơn.,5,5
"Áo chất liệu vừa phải, dáng thụng mặc rất ưng.",4,4
Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh Rất đáng tiền Rất đáng tiền Shop phục vụ rất tốt Shop phục vụ rất tốt.,5,5
"viền mền may xấu. chất bên trong gối là dạng giấy, dễ rách hoặc mủn ra khi ngâm nước.",1,1
Áo đẹp lắm ạ :3 thích ơi là thích í.,5,5
"Đáng tiền lắm , mua ngay đi !!!!!",4,4
"Áo chất vải mát , mỗi tội rộng quá 😭.",3,3
"Giày max đẹp luôn, mấy đứa bạn khen tới bến, cái shop gì mà rẹp li 94, nhân viên gọi điện xác nhận nghe ngọt như mía lùi.",5,5
Shop phục vụ rất tốt.,4,5
"Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt, ổn trong tầm giá.",5,5
"Đồ đẹp lắm, shop tư vấn nhiệt tình.",5,5
Áo trắng mỏng.,2,2
"áo ngắn và xấu, không đẹp như trong hình, muốn trả hàng nhưng shop k chấp nhận.",1,1
E chả hiểu tại sao nữa.,2,2
Chất lượng sản phẩm tạm được.hơi mỏng so với ảnh.,3,3
Gói hàng rất kỹ lại còn được tặng quà nữa.,5,5
"Đóng gói sản phẩm chắc chắn Shop phục vụ khá tốt Thời gian giao hàng nhanh, chất liệu áo cũng không phải tốt hẳn nhưng phù hợp với số tiền mk mua.",5,5
"Quá tốt, đáng tiền, đáng mua.",5,5
"Chất lương sản phẩm tuyệt vời , nón đẹp lắm , sẽ ủng hộ 👍👍👍.",5,5
Hàng đẹp Rất đáng tiền.,4,5
Ốp bị trầy,2,2
Form đẹp.,5,5
"Lớp trong ngắn đến ngực, khi mặc lên bị lộ rõ viền lớp trong, viền tim bị lệch, k cân xứng.",1,1
áo tệ quá.,1,1
"Thời gian giao hàng rất nhanh, hạt thơm.",5,5
Đặt áo theo đúng cân nặng và size mà khi nhận được hàng thì áo dài và rộng.,2,2
"Dép đẹp và đúng mẫu shop gửi, tư vấn nhiệt tình.",5,5
Áo có nâng ngực.,5,5
"Túi hơi cứng, làm chất mềm chút là ok.",3,3
"Shop k trung thực gửi áo vá hai lỗ bằng hai lá cờ Anh, áo còn ẩm ướt khi đem đi giật lại rồi gửi cho khách.",1,1
Áo này ai eo con kiến mặc siêu đẹp.,3,3
"Đồ vải đẹp,ưng lắm ạ.",5,5
"Chất lượng sản phẩm phù hợp vs giá tiền, vải mỏng chất mặc hơi nóng nhưng form áo khá ok.",5,5
Đẹp từ vải đến form.,5,5
Đóng gói sản phẩm rất an toàn và chắc chắn.,5,5
Thơm nữa.,5,5
Sản phẩm tạm ổn cái màu vàng ngắn ko đúng kích thước.,1,1
Vừa ý.,4,5
Chất lượng sản phẩm tuyệt vời đẹp Giao hàng nhanh.,5,5
Nhưng quần ko đường may.,3,3
Đóng gói sản phẩm rất đẹp và chắc chắn hơi cộc so voi chiều cao của mh.,4,4
Giá thì rẻ.,3,5
Form chuẩn.,4,4
Không giống kích thước so với mô tả.,1,1
Đặt 5sp nhưng giao có 4sp.,1,1
Áo đẹp lắm ạ.,5,5
Màu rêu mà lên xấu quá :(.,2,2
Chất tương đối đẹp nhưng dày dặn hơn chút nữa.,4,4
Đẹp.,5,5
Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
Thanks Shop.,4,5
Áo ko giống mẫu Rất không đáng tiền.,1,1
Áo rất giống hình vải tốt mặc vào rất êm và thoải mái. 💟💟.,5,5
màu vàng kem hơi đậm hơn so với hình!,3,3
Quần quá đẹp so với giá tiền.,5,5
Chất vải và hình in rất đẹp từng centimet.,4,4
Khá hài lòng.,4,5
Chất lượng sản phẩm chưa thể đánh giá vì chưa dùng Đóng gói sản phẩm rất đẹp và chắc chắn Thời gian giao hàng rất nhanh Thời gian giao hàng rất nhanh.,3,3
Xinh lắm luôn chất lượng cũng tuyệtt.,5,5
Thời gian giao hàng rất nhanh <3.,4,4
Tệ nhất trong 6 áo mình mua cổ siêu rộng mặc cứ bị lệch lệch.,2,2
Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Thời gian giao hàng rất nhanh Rất đáng tiền Shop phục vụ rất tốt.,5,5
Chất lượng sản phẩm tuyệt vời !,5,5
"Lần đầu tiên feedback ảnh do quá ưng,đúng tiêu chí Ngon-Bổ-Rẻ😂.",5,5
Đường chỉ ko đc đều .áo hơi chật Thời gian giao hàng rất nhanh.,2,2
"Giày chất lượng tốt, hợp với giá tiền.",4,5
Hàng đẹp chất ok.,5,5
"Đóng gói cẩn thận , chắc chắn, đúng sản phẩm.",5,4
"mình rất hài lòng, Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.",5,5
Chất lượng sản phẩm tốt Shop phục vụ khá tốt Đáng đồng tiền Thời gian giao hàng nhanh.,5,5
Giao hàng cũng nhanh nữa.,5,5
Áo y hình.,5,5
"Giờ quăng cái áo, uổng tiền.",1,1
"Thời gian giao hàng rất nhanh, mỗi tội Size S mà áo vẫn hơi dài.",4,4
Chất lượng sản phẩm rất kém Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Rất không đáng tiền Rất không đáng tiền Thời gian giao hàng rất nhanh.,1,1
Giày đẹp đi êm lắm ak.,4,4
Đóng gói sản phẩm rất đẹp và chắc chắn.ưng ý ạ.,3,5
Gối màu nâu nhưng mền màu hồng.,3,3
sp ok.,4,4
"Shop giao e-voucher nhưng sử dụng ok, ko gặp rắc rối nào.",5,5
vải hơi mỏng.,2,2
"Cảm ơn shop ạ, túi giống y hình, rất đẹp và ưng ý ạ.",5,5
K mệt lắm nhưng đi tiểu nhiều.,3,3
Dùng được 1 tuần thấy sim dùng ok.,3,3
Hàng hoá lừa đảo.,1,1
Shop tư vấn nhiệt tình.,5,5
3 áo rách 2 áo.,1,1
Bộ màu vàng đậm hơn trong hình.,4,4
"Sản phẩm chất lượng ,rất đáng tiền ,shop phục vụ nhiệt tình ạ.",5,5
"Tiếp tục mua đồ của shop, chất lượng sản phẩm rất tuyệt.",5,5
Túi đẹp.,4,5
Màu giao random do shop chọn nhưng vô cùng phù hợp với thanh niên chuẩn bị đi thiến.,1,1
Chất tạm đc nhưng quần quá bé.,2,2
Rõ ràng mình chọn xanh rêu mà lại gửi ghi xám cho nình hàng gia công mác chợ.k phải giảm giá.vẫn trả tiền cho shop nhưng hoàn toàn k hài lòng.,1,1
Màu ko giống hình lắm.,3,4
"Chủ shop nhiệt tình, thân thiện.",4,5
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn.,5,5
C bán hàng rất Tử tế.,4,4
● Điểm cộng: Màu son rất đẹp.,5,5
"Áo đẹp, form chuẩn xinh.",5,5
Nhưng vẫn đẹp.,5,5
Chất lượng sản phẩm tuyệt vời Rất đáng tiền Shop phục vụ rất tốt Shop phục vụ rất tốt.,5,5
Áo vải đẹp nhg mình mặc thấy hơi béo😂😂.,4,4
Nhìn chung khá là ok phù hợp so vs giá tiền?,4,5
Chất lượng sản phẩm tuyệt vời tuyệt vời mình rất hài lòng.,5,5
tuyệt cú mèo😂 cảm ơn shop.,5,5
Tuy nhiên chị bán hàng rất vui tính nên sẽ ủng hộ shop dài dài💋.,5,5
Shop phục vụ rất tốt.,5,5
áo này ok.hợp với giá tiền.,4,4
"Chất lượng sản phẩm tạm được, áo hơi mỏng nhưng mặc ấm.",4,4
dây đẹp mình rất ưng ý.,4,5
Sao giao minh bin 4c.,3,3
"Chất lượng sản phẩm tuyệt vời, mình gầy quá nên trông rộng :((.",3,3
"Sản phẩm tốt, mình hài lòng, tuy nhiên đóng góp chưa đẹp lắm, cải thiện việc đóng gói nữa là oke ☺️.",3,3
Thời gian giao hàng chậm quá.,2,1
"Bao bì đóng gói không cẩn thận, giao hàng chậm.",1,1
Chưa dùng nên chưa biết chất lượng ra sao nhưng đóng gói sp tốt.,5,5
"Sản phảm date mới,shop gói hàng rất đẹp và gọn luôn ❤.",5,5
"áo đẹp nhưng rất mỏng, phù hợp vs giá tiền.",3,3
"War machine đen nhân vật sp hơi thô, màu sắc ko đẹp như captain và iron man 43 đỏ, khớp hơi cứng, khó tạo hình.",2,2
"Shop phục vụ rất tốt',rats nhiệt tình.",5,5
"Chất lượng sản phẩm tuyệt vời,tuy nhiên áo màu trắng kiểu khác hình ,màu nude thì thành như m nâu xanh.",3,3
Ao so voi gia tien thi cung ok.nhung ao thi ko co nhan mat giong nhu trong hinh gi het.neu tinh luon tien ship thi voi gia ao nay hoi dat mot chut.mau thi ko giong hinh.,3,3
Túm lại cho 5sao.,5,5
"Bộ này hợp với bạn nào lùn lùn thôi, mình lùn tịt mà vừa như in luôn như may cho mình vậy, bộ như này khó kiếm bộ k phải cắt gấu quần.",2,2
"Yêu cầu giao kính màu xanh thì giao màu hồng nên vất xó, ko dùng được.",1,1
"Hàng đẹp y hình, mặc rất ôm, quả tròn, nâng ngực tốt, chất cotton thấm hút mồ hôi.",5,5
Áo vải rất đẹp nhé.,5,5
Lấy cớ ngày nhiều đơn để lấp liếm sự sai sót của mình !,1,1
"Chất lượng sản phẩm tuyệt vời Rất đáng tiền, hàng đẹp ♥.",5,5
"Chất lượng OK, dùng khá tiện.",4,4
"Chất không đẹp,màu ngà,shop giao hàng nhanh.",3,5
Sản phẩm mới và đầy đủ linh kiện.,3,3
Rẽ mà chất lượng ❤️ Chất lượng sản phẩm tuyệt vời.,5,5
Giá bằng nửa ở ngoài store mà chất lượng ngang bằng :)).,5,5
Chất lượng sản phẩm ok.,3,5
Dùng làm má hồng cũng được.,3,5
Hơi thất vọng tí.,2,2
Mk mua cả mấy màu và thấy chất lượng quá tuyệt vời.,5,5
Áo đẹp quá!,4,5
Đi 42 toàn rộng mà 42 này chật wa!,2,2
Rất đáng tiền.,5,5
"chất vải dày dặn rất đẹp, good.",5,5
"Hài lòng, rất mong thời gian nạp thẻ nhanh hơn.",4,4
Mk nhận đk hàng rồi đẹp lắm cảm ơn shop nhé 😊.,5,5
ko giống như trong hình mua màu vàng thì gửi màu nâu vừa xấu lại còn bẩn xem hàng mà thất vọng quá 😡😡😡😡😡😡😡😨😨😨😨😨😨😨😨.,1,1
Áo cổ tim hình form rộng ống tay lửng.,3,3
Mặc lên rất xinh.,4,5
Quần vải mong.,2,2
Shop phục vụ khá tốt.,3,5
Chất ok nhưng đặt sz M lại giao S.,3,3
Màu sắc đúng như hình.,4,4
Lo viên xả vải này tôi mua về không thấy thơm.,2,2
"Đóng gói chưa đc chắc lắm, chắc vch xa nên bị bục bẩn hàng.",3,3
Sản phẩm tặng kèm không đúng.,3,3
Thời gian giao hàng nhanh.,4,5
"Chất liệu ổn, mẫu mã ổn Shop phục vụ rất tốt.",5,5
Shop phục vụ rất tốt.,5,5
0 h dat hàng.,4,5
hơi lâu 1 tý.,3,3
Chất lượng sản phẩm tuyệt vời.,5,5
Shop chú ý kiểm tra kỹ hơn.,1,1
Đầm hơi mỏng.,4,4
Chất lượng sản phẩm tuyệt vời dày hơn chút nữa sẽ ok hơn.,4,4
"Áo mùi cao su và hơi bị nóng,shop rất nhiệt tình Shop phục vụ rất tốt.",4,4
Shop lưu ý bán sản phẩm đẹp cho các khách hàng khác sau này.,3,3
Tiếc phần đế chưa đc gia công tốt.,2,2
Lần sau lại mua.,4,5
Hàng đẹp lắm ạ.,5,5
Phù hợp giá tiền.,5,5
"Shop ship nhanh, còn được tặng thêm 2 đôi vớ xinh xinh, đồ vải đẹp.",5,5
Chất đẹp nhưng shop giao nhầm mẫu cho mình.,3,3
Cô chủ dễ tính nói chuyện hòa đồng .,5,5
Nên mua .,5,5
Minh gop ý voi shop la nen dong goi hang can than vi mình nhan duoc hang thi hop nó mop méo het 2 hop.,2,2
"Áo đẹp mà thời gian giao hàng lâu quá,nên trừ 1 sao.",4,4
"Hàng y hình, đẹp.",5,5
Shop phục vụ tốt.,4,5
"Hàng in bị lỗi, chất lượng vải ok, không in lỗi thì chất lượng ok, đóng gói sp sơ xài.",1,1
Vải cứng và mỏq kh đáng đồng tiền.,1,1
Rất đáng tiền.,5,5
Chất lượng sản phẩm tuyệt vời Shop phục vụ khá tốt Đáng đồng tiền Thời gian giao hàng nhanh.,5,5
Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn Shop phục vụ rất tốt Đóng gói sản phẩm rất đẹp và chắc chắn Rất đáng tiền Thời gian giao hàng rất nhanh.,5,5
Thời gian giao hàg lâu quá lần nào mua cũg vậy.,1,1
Tiền nào vải nấy thôi.,3,3
Huhu chỉ sợmua về không vừa form mà lại vừa như in.,4,4
Về độ uy tín thì khỏi phải lo nghĩ.,5,5
"Màu đen đẹp, màu trắng vải hơi mỏng.",3,3
Lần sau sẽ ủng hộ shop tiếp tục.,5,5
Chất cũng được.,4,5
Giá thì đúng còn sản phẩm thì k.,1,1
Chất lượng đẹp theo giá cả.,5,5
Sản phẩm phù hợp với giá tiền.,5,5
Hàng đẹp mà giá mềm.,5,5
Biết thế mua cái nữa 😜.,5,5
"Đóng gói sản phẩm rất đẹp, hóng bộ sản phẩm tương tự chắc chắn hơn.",5,5
Shop phục vụ rất tốt Thời gian giao hàng rất nhanh Đóng gói sản phẩm rất đẹp và chắc chắn Chất lượng sản phẩm tuyệt vời Rất đáng tiền.,5,5
Hơi to so với số giày nt.,2,2
"Chất lượng sản phẩm tuyệt vời Đóng gói sản phẩm rất đẹp và chắc chắn ,...rất hài lòng !",5,5
"Mình tưởng ngắn tay, shop giao dài tay, nhưng chất lượng rất ok.",4,4
Nhiều mùi.,5,1
Chất lượng sản phẩm tuyệt vời.,5,5
Váy đẹp.,5,5
Chất lượng very tốt.,5,5
Hơn 1 tuần mình ms nhận đc hàng.,2,2
Chất vải không được tốt lắm vì tiền nào của nấy mà.,2,2
form và chất liệu váy đẹp.Rất đáng tiền.,4,4
"Chất lượng vải thì tốt, nhưng độ nét của hình ""dán"" trên áo ko dc nét.",3,3
"shop ko tư vấn nhiệt tình do mình k bít xài .hỏi mấy ngày rồi onl cũng k trả lời.do đóng gói mỏng manh quá.nên bi vỡ rách,ko thôi mình trả hang roi.",2,2
"Tuyệt vời, rất đẹp, sẽ mua thêm tặng người thân ạ, cảm ơn shop.",5,5
Vai tam duoc.,3,3
OK em nhận được rồi.,4,5
"Chất lượng khá ok, phù hợp giá tiền.",5,5
Shop gửi m có 1 nửa bị size nhỏ hơn .,3,3
Áo hơi mỏng size áo bé chỉ người bé mới mặc vừa.,3,3
Rất biết cách làm hài lòng khách.,5,5
Vải tuy k dày nhưng cũng đẹp.,4,4
Áo đẹp mà chất vải cũng ok.,4,5
Chất lượng sản phẩm tuyệt vời vải dày đẹp hơn mong đợi.,5,5
Áo nhỏ hơn so với tưởng tượng Đóng gói sản phẩm chắc chắn.,5,5
Hàng kém chất lượng và không như quảng cáo.,2,1
đúng là tiền nào của đó. chơi hàng giả luôn!,1,1
Rách nách.,5,5
